5/1/2022,"APPLE.COM/BILL           866-712-7753 ON ",-11.29
5/2/2022,"          FROM - *****01*3928 ",578.32
5/3/2022,"SHOPPERS DRUG MART #12   CONCORD      ON  (APPLE PAY) ",-30.85
5/3/2022,"SECURITY NATIONAL INSURANMONTREAL     QC ",-277.84
5/5/2022,"SHOPPERS DRUG MART #12   CONCORD      ON  (APPLE PAY) ",-36.24
5/6/2022,"MR ZAGROS                THORNHILL    ON  (APPLE PAY) ",-13.55
5/6/2022,"NINTENDO    *AMERICACA   800-255-3700 BC ",-23.85
5/7/2022,"SHISHLIX GRILL           RICHMOND HILLON  (APPLE PAY) ",-105.98
5/7/2022,"          FROM - *****01*3928 ",511.13
5/8/2022,"NINTENDO    *AMERICACA   800-255-3700 BC ",-11.15
5/9/2022,"T&T SUPERMARKET #009     THORNHILL    ON  (APPLE PAY) ",-89.97
5/9/2022,"APPLE.COM/BILL           TORONTO      ON ",-4.51
5/10/2022,"OLG 1-800-387-0098       NORTH YORK   ON ",-20.00
5/12/2022,"MR ZAGROS                THORNHILL    ON  (APPLE PAY) ",-13.55
5/12/2022,"BAGEL NASH         QPS   THORNHILL    ON  (APPLE PAY) ",-6.25
5/13/2022,"T&T SUPERMARKET #009     THORNHILL    ON  (APPLE PAY) ",-21.74
5/13/2022,"THAI EXPRESS             VAUGHAN      ON  (APPLE PAY) ",-13.99
5/13/2022,"DOLLARAMA #1256          MAPLE        ON  (APPLE PAY) ",-4.52
5/13/2022,"COBS BREAD RUTHERFORD MARTHORNHILL    ON  (APPLE PAY) ",-4.15
5/13/2022,"NINTENDO    *AMERICACA   800-255-3700 BC ",-26.00
5/14/2022,"SHOPPERS DRUG MART #11   RICHMOND HILLON  (APPLE PAY) ",-6.30
5/14/2022,"WAL-MART SUPERCENTER#1116RICHMOND HILLON  (APPLE PAY) ",-66.61
5/15/2022,"T&T SUPERMARKET #009     THORNHILL    ON  (APPLE PAY) ",-65.16
5/16/2022,"SHOPPERS DRUG MART #12   CONCORD      ON  (APPLE PAY) ",-1.05
5/16/2022,"THE UPS STORE #361       THORNHILL    ON  (APPLE PAY) ",-1.02
5/16/2022,"          FROM - *****01*3928 ",305.25
5/17/2022,"APPLE.COM/BILL           866-712-7753 ON ",-1.46
5/18/2022,"DALDONGNAE               TORONTO      ON  (APPLE PAY) ",-106.50
5/18/2022,"MENNA HAIR LOUNGE        THORNHILL    ON  (APPLE PAY) ",-80.80
5/20/2022,"T&T SUPERMARKET #009     THORNHILL    ON  (APPLE PAY) ",-75.51
5/20/2022,"SZECHUAN GOURMET RESTA   WILLOWDALE   ON  (APPLE PAY) ",-25.37
5/20/2022,"ROYAL PASSPORT PHOTO INC.NORTH YORK   ON  (APPLE PAY) ",-20.34
5/20/2022,"KIVA'S BAGEL BAKERY & RNTTORONTO      ON  (APPLE PAY) ",-6.49
5/20/2022,"          FROM - *****01*3928 ",500.00
5/21/2022,"LCBO/RAO #671            KING CITY    ON ",-28.95
5/23/2022,"MR ZAGROS                THORNHILL    ON  (APPLE PAY) ",-14.68
5/23/2022,"CDN TIRE STORE #00321    THORNHILL    ON  (APPLE PAY) ",-22.00
5/24/2022,"APPLE.COM/BILL           TORONTO      ON ",-3.94
5/26/2022,"FRESHWAY FOODMART        MARKHAM      ON  (APPLE PAY) ",-62.77
5/26/2022,"SHOPPERS DRUG MART #12   CONCORD      ON  (APPLE PAY) ",-4.49
5/26/2022,"THE UPS STORE #361       THORNHILL    ON  (APPLE PAY) ",-1.12
5/29/2022,"ESSO CIRCLE K            GUELPH       ON ",-30.00
5/31/2022,"APPLE.COM/BILL           866-712-7753 ON ",-11.29
