4/29/2022,-2052.11,-,"Mortgage Payment       ","#4966233"
4/28/2022,-362.50,-,"Taxes                  ","THE CITY OF VAUGHAN          "
4/28/2022,3468.04,-,"Payroll Deposit        ","Wave PYRL                    "
4/28/2022,-10.00,-,"POS Purchase           ","IMPARK00090322A          TORON"
4/27/2022,-1000.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
4/26/2022,-45.14,-,"Bill Payment           ","BELL CANADA                  "
4/26/2022,-5.00,-,"Bill Payment           ","TS-CIBC VISA"
4/19/2022,-49.44,-,"Business PAD           ","Phonebox                     "
4/18/2022,-2052.11,-,"Mortgage Payment       ","#4966233"
4/16/2022,-25.95,-,"POS Purchase           ","FPOS NORTHERN DUMPLING KIRICHM"
4/14/2022,-2000.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
4/14/2022,1000.00,-,"DEPOSIT                ","FREE INTERAC E-TRANSFER"
4/14/2022,3468.03,-,"Payroll Deposit        ","Wave PYRL                    "
4/12/2022,100.80,-,"Insurance              ","SUNLIFE MED INS              "
4/8/2022,-500.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
4/7/2022,-55.37,-,"POS Purchase           ","COSTCO GAS W547          VAUGH"
4/7/2022,4894.45,-,"Tax Refund             ","CANADA                       "
4/6/2022,-500.00,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
4/4/2022,-60.75,-,"Insurance              ","SUN LIFE                     "
4/1/2022,-500.00,-,"Bill Payment           ","TS-TANGERINE MASTERCARD"
